soru,soru_processed,yanit,features
1001 programı için 3 aylık bir araştırma planı oluşturabilir misin?,1001 programi icin 3 aylik bir arastirma plani olusturabilir misin?,"TÜBİTAK 1001 Programı: 3 Aylık Araştırma Planı

Bu program kapsamında 3 aylık bir araştırma planı şu şekilde olabilir:

1. ay: Literatür taraması ve problem tanımı
2. ay: Veri toplama ve metodoloji geliştirme
3. ay: Analiz ve sonuçların raporlanması

Bu kısa dönemli plan, hızlı sonuç almanız gereken araştırmalar için uygundur.","{""fon_kodu"": ""1001"", ""ay_suresi"": 3}"
2247 programı için 6 aylık bir plan önerir misin?,2247 programi icin 6 aylik bir plan onerir misin?,"TÜBİTAK 2247 Programı: 6 Aylık Araştırma Planı

Bu program kapsamında 6 aylık bir araştırma planı şu şekilde olabilir:

1. ay: Literatür taraması ve problem tanımı
2. ay: Metodoloji geliştirme
3-4. ay: Veri toplama ve ön analizler
5. ay: Ana analiz ve bulguların değerlendirilmesi
6. ay: Raporlama ve yaygınlaştırma faaliyetleri

Bu orta vadeli plan, dengeli bir araştırma süreci sağlar.","{""fon_kodu"": ""2247"", ""ay_suresi"": 6}"
3501 bursu için 12 aylık bir program taslağı hazırlar mısın?,3501 bursu icin 12 aylik bir program taslagi hazirlar misin?,"TÜBİTAK 3501 Programı: 12 Aylık Araştırma Planı

Bu program kapsamında 12 aylık bir araştırma planı şu şekilde olabilir:

1-2. ay: Detaylı literatür taraması ve problem tanımı
3-4. ay: Metodoloji geliştirme ve ön hazırlıklar
5-8. ay: Veri toplama ve ara analizler
9-10. ay: Kapsamlı analiz ve bulguların değerlendirilmesi
11-12. ay: Raporlama, yaygınlaştırma ve sonuç değerlendirmesi

Bu uzun vadeli plan, kapsamlı araştırmalar için ideal bir yapı sunar.","{""fon_kodu"": ""3501"", ""ay_suresi"": 12}"
1001 programı kapsamında 24 aylık bir proje planı oluşturabilir misin?,1001 programi kapsaminda 24 aylik bir proje plani olusturabilir misin?,"TÜBİTAK 1001 Programı: 24 Aylık Uzun Vadeli Araştırma Planı

Bu program kapsamında 24 aylık bir araştırma planı şu şekilde olabilir:

1-3. ay: Literatür taraması, problem tanımı ve araştırma ekibinin oluşturulması
4-6. ay: Metodoloji geliştirme ve pilot çalışmalar
7-12. ay: İlk faz veri toplama ve analiz
13-18. ay: İkinci faz veri toplama ve derinlemesine analiz
19-22. ay: Bulguların değerlendirilmesi ve karşılaştırmalı analizler
23-24. ay: Nihai raporlama, yaygınlaştırma ve etki değerlendirmesi

Bu kapsamlı uzun vadeli plan, büyük ölçekli araştırma projeleri için ideal bir çerçeve sunar.","{""fon_kodu"": ""1001"", ""ay_suresi"": 24}"
TÜBİTAK 1001 projesi için 3 aylık kısa plan,tubitak 1001 projesi icin 3 aylik kisa plan,"TÜBİTAK 1001 Programı kapsamında 3 aylık kısa bir plan: Ay 1: Literatür inceleme ve metodoloji, Ay 2: Veri toplama, Ay 3: Analiz ve raporlama.","{""fon_kodu"": ""1001"", ""ay_suresi"": 3}"
6 aylık araştırma planı TÜBİTAK 3501,6 aylik arastirma plani tubitak 3501,"TÜBİTAK 3501 programı için 6 aylık araştırma planınız: 1-2 ay: Literatür ve hipotez geliştirme, 3-4 ay: Veri toplama ve ilk analiz, 5-6 ay: Değerlendirme ve rapor yazımı.","{""fon_kodu"": ""3501"", ""ay_suresi"": 6}"
TÜBİTAK 2247 için 1 yıllık araştırma programı,tubitak 2247 icin 1 yillik arastirma programi,"TÜBİTAK 2247 programı için 12 aylık kapsamlı bir araştırma planı: İlk çeyrek: Teorik altyapı ve metodoloji, İkinci çeyrek: Veri toplama, Üçüncü çeyrek: Analiz ve bulguların değerlendirilmesi, Dördüncü çeyrek: Makale yazımı ve projenin tamamlanması.","{""fon_kodu"": ""2247"", ""ay_suresi"": 12}"
36 aylık uzun vadeli TÜBİTAK plan taslağı,36 aylik uzun vadeli tubitak plan taslagi,"TÜBİTAK için 36 aylık kapsamlı araştırma planı: Yıl 1: Altyapı geliştirme, literatür analizi ve metodoloji, Yıl 2: Veri toplama ve kapsamlı analiz, Yıl 3: Sonuçların değerlendirilmesi, yayın hazırlığı ve proje çıktılarının yaygınlaştırılması.","{""fon_kodu"": ""1001"", ""ay_suresi"": 36}"
TÜBİTAK için 3 aylık hızlı bir araştırma planı,tubitak icin 3 aylik hizli bir arastirma plani,"TÜBİTAK projesi için 3 aylık plan: 1. ay: Literatür taraması, 2. ay: Veri toplama, 3. ay: Analiz ve raporlama.","{""ay_suresi"": 3, ""fon_kodu"": """"}"
Doktora bursu için 3 aylık plan,doktora bursu icin 3 aylik plan,"Doktora bursu kapsamında 3 aylık çalışma planı: Ay 1: Metodoloji geliştirme, Ay 2: Pilot veri toplama, Ay 3: Değerlendirme ve raporlama.","{""ay_suresi"": 3, ""fon_kodu"": """"}"
TÜBİTAK 1001 kapsamında 6 aylık plan,tubitak 1001 kapsaminda 6 aylik plan,"TÜBİTAK 1001 programı için 6 aylık plan: 1-2 ay: Hazırlık ve literatür, 3-4 ay: Veri toplama, 5-6 ay: Analiz ve raporlama.","{""ay_suresi"": 6, ""fon_kodu"": ""1001""}"
Yapay zeka araştırması için 6 aylık zaman çizelgesi,yapay zeka arastirmasi icin 6 aylik zaman cizelgesi,"Yapay zeka araştırması 6 aylık zaman çizelgesi: Ay 1-2: Literatür ve model tasarımı, Ay 3-4: Veri toplama ve model eğitimi, Ay 5-6: Test, değerlendirme ve raporlama.","{""ay_suresi"": 6, ""fon_kodu"": """"}"
TÜBİTAK için 1 yıllık araştırma takvimi,tubitak icin 1 yillik arastirma takvimi,"TÜBİTAK 1 yıllık araştırma takvimi: Q1: Metodoloji ve literatür, Q2: Veri toplama, Q3: Analiz ve ön değerlendirme, Q4: Sonuçların değerlendirilmesi ve raporlama.","{""ay_suresi"": 12, ""fon_kodu"": """"}"
Akademik proje için 12 aylık plan,akademik proje icin 12 aylik plan,"Akademik proje için 12 aylık plan: Ay 1-3: Literatür ve metodoloji, Ay 4-7: Veri toplama, Ay 8-10: Analiz, Ay 11-12: Makale yazımı ve sunum.","{""ay_suresi"": 12, ""fon_kodu"": """"}"
TÜBİTAK 1001 programı kapsamında 24 aylık araştırma,tubitak 1001 programi kapsaminda 24 aylik arastirma,"TÜBİTAK 1001 programı 24 aylık araştırma planı: Yıl 1: Literatür, metodoloji ve ilk veri toplama aşaması, Yıl 2: Ana veri toplama, analiz ve sonuçların yaygınlaştırılması.","{""ay_suresi"": 24, ""fon_kodu"": ""1001""}"
3 yıllık kapsamlı TÜBİTAK projesi nasıl planlanır?,3 yillik kapsamli tubitak projesi nasil planlanir,"3 yıllık TÜBİTAK projesi planı: Yıl 1: Altyapı ve metodoloji geliştirme, Yıl 2: Kapsamlı veri toplama ve ara analizler, Yıl 3: Final analizleri, sonuçların yaygınlaştırılması ve sürdürülebilirlik planı.","{""ay_suresi"": 36, ""fon_kodu"": """"}"
